Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
General_Sea_Area,Name,Brattegard zone 3,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 4,Part_of,,,,,IHO_Sea_Area,Name,Skagerrak
General_Sea_Area,Name,Brattegard zone 4,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 5,Part_of,,,,,IHO_Sea_Area,Name,Skagerrak
General_Sea_Area,Name,Brattegard zone 5,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 6,Part_of,,,,,IHO_Sea_Area,Name,North Sea
General_Sea_Area,Name,Brattegard zone 6,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 7,Part_of,,,,,IHO_Sea_Area,Name,North Sea
General_Sea_Area,Name,Brattegard zone 7,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 8,Part_of,,,,,IHO_Sea_Area,Name,North Sea
General_Sea_Area,Name,Brattegard zone 8,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 9,Part_of,,,,,IHO_Sea_Area,Name,Norwegian Sea
General_Sea_Area,Name,Brattegard zone 9,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 10,Part_of,,,,,IHO_Sea_Area,Name,Norwegian Sea
General_Sea_Area,Name,Brattegard zone 10,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 11,Part_of,,,,,IHO_Sea_Area,Name,Norwegian Sea
General_Sea_Area,Name,Brattegard zone 11,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 12,Part_of,,,,,IHO_Sea_Area,Name,Norwegian Sea
